Name		Lteam
Trent Boult	,	AV
Rahul Tewatia	,	AV
Mayank Agarwal	,	AV
Krunal Pandya	,	AV
Marcus Stoinis	,	AV
Jhye Richardson	,	AV
Nitish Rana	,	AV
Kyle Jamieson	,	AV
Faf du Plessis	,	AV
Bhuvneshwar Kumar	,	AV
Axar Patel	,	AV
Shivam Mavi	,	AV
Mohammed Azharuddeen	,	AV
Krishnappa Gowtham	,	AV
Imran Tahir	,	AV
Chetan Sakariya	,	AV
Arshdeep Singh	,	AV
Anukul Roy	,	AV
Akash Singh	,	AV
Adam Milne	,	AV
Abhishek Sharma	,	AV
Rohit Sharma	,	CR
Sanju Samson	,	CR
Shikhar Dhawan	,	CR
Ravindra Jadeja	,	CR
Nicholas Pooran	,	CR
Manish Pandey	,	CR
Glenn Maxwell	,	CR
Umesh Yadav	,	CR
Shimron Hetmyer	,	CR
Shahbaz Nadeem	,	CR
Riley Meredith	,	CR
Josh Hazlewood	,	CR
Chris Jordan	,	CR
Shivam Dube	,	CWC
KL Rahul	,	CWC
AB de Villiers	,	CWC
Rishabh Pant	,	CWC
Sam Curran	,	CWC
Suryakumar Yadav	,	CWC
Sheldon Jackson	,	CWC
R Sai Kishore	,	CWC
Priyam Garg	,	CWC
N Jagadeesan	,	CWC
Mohammad Nabi	,	CWC
Liam Livingstone	,	CWC
Kartik Tyagi	,	CWC
Kamlesh Nagarkoti	,	CWC
Abdul Samad	,	CWC
Shreyas Gopal	,	CC
Moeen Ali	,	CC
Rahul Chahar	,	CC
Robin Uthappa	,	CC
Ajinkya Rahane	,	CC
Kagiso Rabada	,	CC
Jofra Archer	,	CC
Shubman Gill	,	CC
Rahul Tripathi	,	CC
Hardik Pandya	,	CC
Jonny Bairstow	,	CC
Yashasvi Jaiswal	,	CC
Sachin Baby	,	CC
Mahipal Lomror	,	CC
Jalaj Saxena	,	CC
Harshal Patel	,	CC
Harishankar Reddy	,	CC
Finn Allen	,	CC
Fabian Allen	,	CC
Prithvi Shaw	,	GMC
Jos Buttler	,	GMC
T Natarajan	,	GMC
Quinton de Kock	,	GMC
Mohammed Shami	,	GMC
Devdutt Padikkal	,	GMC
Ruturaj Gaikwad	,	GMC
Dinesh Karthik	,	GMC
Wriddhiman Saha	,	GMC
Ripal Patel	,	GMC
Prabhsimran Singh	,	GMC
Andrew Tye	,	GMC
Deepak Hooda	,	JC
Virat Kohli	,	JC
Suresh Raina	,	JC
Steve Smith	,	JC
Kieron Pollard	,	JC
Ishan Kishan	,	JC
Eoin Morgan	,	JC
David Warner	,	JC
Sarfaraz Khan	,	JC
Pawan Negi	,	JC
Mayank Markande	,	JC
Cheteshwar Pujara	,	JC
Rashid Khan	,	DN
Ravi Bishnoi	,	DN
MS Dhoni	,	DN
Andre Russell	,	DN
Dawid Malan	,	DN
Jasprit Bumrah	,	DN
Ravichandran Ashwin	,	DN
Mohammed Siraj	,	DN
Shardul Thakur	,	DN
Shahrukh Khan	,	DN
Prasidh Krishna	,	DN
Manan Vohra	,	DN
Khaleel Ahmed	,	DN
Kedar Jadhav	,	DN
Karun Nair	,	DN
Jimmy Neesham	,	DN
Daniel Sams	,	DN
Amit Mishra	,	DN
